,row,column,value,filter
0,C,II,0.7263428481383005,-0.04283430812493749
1,F,I,1.4363224020586014,0.6293182874687465
2,C,IV,-0.17679127654747165,-1.1616216777430126
3,E,IV,-0.13737331419874751,-0.9085496503545702
4,C,IV,0.6514629453394122,0.5055060060211137
5,C,V,0.26684335531250886,-1.7872879542325366
6,C,III,1.1972717208502013,-0.37445439898449806
7,B,IV,-0.5620087122998336,-0.29301286318557773
8,B,III,-0.3755793220876033,-0.22320889617453699
9,E,II,-1.3217523924537258,1.345846433195781
10,B,V,0.20994525797045402,1.816938859885603
11,D,IV,0.7494130705573198,0.44750567227441834
12,E,III,0.0738605179437872,2.0125971650562726
13,B,I,0.508773462901547,-0.6582426537437599
14,E,IV,0.09729652199011338,0.973357979765576
15,D,II,-0.5663572337994496,-0.21403427586903204
16,D,I,-0.7058534034765733,-0.16759888354646454
17,C,I,0.03171410495657307,0.45651718904978433
18,E,IV,0.9467725340989702,-1.4119657874508134
19,E,V,-0.7595708263924726,0.3356468305835886
20,D,III,-0.28454610411296394,-2.2941186736137746
21,C,IV,1.2092808734375031,-1.193973359304396
22,B,II,0.13892374818026218,-0.22882137279603534
23,B,V,1.0132904248806691,0.004479002060584692
24,B,V,0.15361671281114903,1.0337880990423347
25,B,II,-0.9737355965740007,-1.2988292194439077
26,F,IV,-0.35870784155900454,0.03950820044614089
27,A,V,0.01495452397791165,-1.219054158076976
28,E,IV,-1.1468980507151334,-0.5880310605215955
29,D,III,0.7754598028570666,1.0566094246658495
30,B,II,0.9052395361622738,2.250662981624541
31,A,III,-0.13463242480418508,-0.7281578618105706
32,B,I,-0.8376518192033385,0.21028442347696016
33,B,II,-0.8624829180803643,-1.394935880840351
34,A,III,1.6806801553537944,-0.11037122762323713
35,C,II,-0.9929869566864779,-0.13103716111600244
36,A,IV,0.4488248746256748,-1.2376100360607694
37,B,IV,-1.4353391511063132,-1.2920407841847066
38,A,I,0.05746321315228853,-0.8614963589135646
39,A,III,0.8005949755589131,-0.0929346933650277
40,E,I,-0.5245739350573309,0.29861869618358716
41,C,II,0.9310909579830853,0.48868661493172333
42,F,IV,1.3745758884478414,-0.8792936425816178
43,D,III,-1.6074873369936316,0.4548138058119805
44,E,III,-1.5647538139643218,-0.4563198524332585
45,A,I,-0.5286016368165309,-0.44029755252730635
46,C,IV,-0.4337278491474668,0.27527712522628844
47,D,II,-0.177476930877282,1.4730846185072632
48,B,V,-1.6317328990990672,0.05439241588923475
49,C,IV,0.947025772928789,0.4327215499099971
50,C,IV,-1.240159700467161,-1.646853731613935
51,D,V,0.0024478923699917505,-0.5120917414689744
52,A,IV,0.9194001722561664,-0.634691130612449
53,E,V,-1.1357687388606563,-0.9439170380028483
54,F,V,1.4571452456619356,2.0426898391473194
55,F,I,-1.5971864834710274,-0.6704487242469896
56,E,I,0.3661364577825441,0.4372143132831836
57,B,III,1.0144700299293161,1.4564235892838648
58,A,V,1.840440519517879,0.4541437714489129
59,D,IV,-0.06382287049167366,0.5092837523955392
60,C,I,-1.0071270437699362,0.012820023925414594
61,A,IV,1.2287465899571277,1.3092987861687329
62,A,II,0.4669910421002251,-1.1286521289631795
63,A,I,-1.3257865624886043,1.3524323852215956
64,A,III,0.6239656195898551,2.2032380005856127
65,C,I,-0.06462831219304198,0.11506317689521142
66,C,V,-1.9701028793377504,0.5950912674868533
67,C,IV,-2.009833113197501,-0.03443766169900174
68,D,I,1.1747956934717936,-0.7980394005341541
69,E,I,0.4222022271555608,0.4963546233195478
70,A,I,-0.42240032229983016,0.2845006488550584
71,B,II,-0.9816313878996054,-0.08957575647093195
72,C,IV,0.7349290745931136,-0.4701715134691056
73,C,V,0.6460477077347556,-2.3982431809679783
74,A,I,-1.3551294303821375,3.145362974545444
75,E,III,-0.06789088791179404,1.4011940235889644
76,D,II,0.1468099795225448,-1.2178969368603183
77,E,I,1.4284644505351705,0.7792259152217951
78,B,III,-0.10542480957376667,-0.01404390241153261
79,D,I,-0.07066671888021578,-1.2267796589380964
80,B,V,1.122762161615726,1.3928971629714983
81,A,III,1.476126798206701,0.6390076264657096
82,C,III,-0.1588720237019423,0.3926522859789969
83,C,IV,0.38509553335288477,0.31653592163802147
84,D,V,0.6862646438172586,0.07050651082167983
85,D,I,0.5226904787192524,-0.6159550268195854
86,D,IV,-1.204761470976303,1.2008038440141118
87,D,II,1.418211258446916,2.2495693978504145
88,A,V,-1.1414100382265002,0.2915947884279743
89,B,V,-0.13351170452188,0.09874815740771825
90,B,II,-0.728914807043684,-0.27262246106973076
91,F,III,-0.14967234117690156,-1.180288946996734
92,B,III,0.7019936326346357,0.11375383297692977
93,D,III,-0.39735965904118686,-0.3514619150171665
94,C,II,1.2301440523632559,-0.8951639263591411
95,D,I,1.704982973914353,1.1972785619954955
96,A,V,1.3192292120437639,0.33849688232129715
97,F,V,-1.214578369262098,0.7428003198515671
98,A,V,0.9800100539654834,-1.3408123253912285
99,B,I,0.38503786395333484,-1.7281594050467204
